locationid,stateabbr,locationname,totalpopulation,High blood pressure,Current smoking,Diabetes,Physical inactivity,Obesity
41025,OR,Harney,7440,42.0,16.2,15.0,26.5,38.8
41027,OR,Hood River,23745,32.1,11.4,11.3,20.7,31.5
41029,OR,Jackson,220768,36.1,12.9,12.7,21.8,32.8
41031,OR,Jefferson,25454,35.5,14.6,13.4,23.3,35.5
41033,OR,Josephine,87821,39.0,15.5,14.8,25.7,33.8
41035,OR,Klamath,70003,40.0,15.1,14.1,26.3,37.9
41037,OR,Lake,8293,40.6,15.6,14.7,25.7,37.7
41039,OR,Lane,381181,33.3,12.2,10.8,19.2,34.3
41041,OR,Lincoln,50821,41.6,13.6,14.9,23.6,35.7
41043,OR,Linn,131496,34.4,14.2,12.0,22.6,40.1
41045,OR,Malheur,32044,36.3,15.9,13.9,28.3,41.2
41047,OR,Marion,346741,33.3,12.4,12.5,22.2,43.4
41049,OR,Morrow,12302,35.5,16.0,14.5,27.9,39.2
41051,OR,Multnomah,789698,28.5,12.0,9.5,17.6,28.9
41053,OR,Polk,89805,31.5,11.8,10.9,20.2,32.5
41055,OR,Sherman,1951,40.2,15.3,14.2,24.7,36.6
41057,OR,Tillamook,27417,37.6,13.2,13.5,22.1,32.1
41059,OR,Umatilla,80053,32.7,14.6,12.5,25.0,37.7
41061,OR,Union,25944,35.9,13.7,12.2,21.7,35.8
41063,OR,Wallowa,7674,38.5,11.8,12.6,20.4,34.2
